epoch,lr,train_loss,val_loss,val_tox_auc,test_tox_auc,test_loss,step,train_tox_auc
0.0,0.0005000000237487257,0.2560672461986542,0.22578375041484833,0.7613030076026917,0.7550011277198792,0.22622345387935638,378,
1.0,0.0005000000237487257,0.21934053301811218,0.21501469612121582,0.7909371852874756,0.7695462703704834,0.22311770915985107,757,0.6773586869239807
2.0,0.0005000000237487257,0.20613667368888855,0.21652035415172577,0.8049396872520447,,,1136,0.7611390948295593
3.0,0.0005000000237487257,0.19576825201511383,0.20897933840751648,0.8217072486877441,,,1515,0.7979979515075684
4.0,0.0005000000237487257,0.18037918210029602,0.21682727336883545,0.8196222186088562,,,1894,0.8230807781219482
5.0,0.0005000000237487257,0.17443248629570007,0.1977679431438446,0.8380936980247498,,,2273,0.8548405766487122
6.0,0.0005000000237487257,0.16188716888427734,0.2037350982427597,0.8232854008674622,,,2652,0.8664630055427551
7.0,0.0005000000237487257,0.14633700251579285,0.19845232367515564,0.8395100235939026,,,3031,0.8895854949951172
8.0,0.0005000000237487257,0.13609637320041656,0.21241097152233124,0.8279712200164795,,,3410,0.9116113185882568
9.0,0.0005000000237487257,0.12229513376951218,0.23090791702270508,0.8234860897064209,,,3789,0.9276896119117737
10.0,0.0005000000237487257,0.10977711528539658,0.2212212085723877,0.8161518573760986,,,4168,0.9449920654296875
11.0,0.0005000000237487257,0.09585672616958618,0.256134033203125,0.8150574564933777,0.8013741374015808,0.2557576894760132,4547,0.955885648727417
12.0,0.000375000003259629,0.07138777524232864,0.2736683487892151,0.8253815174102783,,,4926,0.966312825679779
13.0,0.000375000003259629,0.05363050848245621,0.31520283222198486,0.8232681751251221,,,5305,0.9820222854614258
14.0,0.000375000003259629,0.04692329466342926,0.3034571409225464,0.8257113099098206,,,5684,0.9907235503196716
15.0,0.000375000003259629,0.041739899665117264,0.40665993094444275,0.8094521164894104,,,6063,0.9929203987121582
16.0,0.000375000003259629,0.03487379103899002,0.3859633803367615,0.8239495754241943,,,6442,0.994710385799408
17.0,0.000375000003259629,0.03690727800130844,0.3792364001274109,0.8350191116333008,,,6821,0.9960145354270935
18.0,0.00028124998789280653,0.02079281397163868,0.42165908217430115,0.8173270225524902,,,7200,0.9956757426261902
19.0,0.00028124998789280653,0.013053597882390022,0.47255367040634155,0.8229058384895325,,,7579,0.9983007907867432
20.0,0.00028124998789280653,0.010634498670697212,0.48604798316955566,0.8341505527496338,,,7958,0.9994010925292969
21.0,0.00028124998789280653,0.007820695638656616,0.515648365020752,0.8251981139183044,0.8184930682182312,0.5320283770561218,8337,0.9995114207267761
22.0,0.00028124998789280653,0.006143350154161453,0.5056631565093994,0.8218045830726624,,,8716,0.999701201915741
23.0,0.00028124998789280653,0.005707430187612772,0.5352583527565002,0.8289844989776611,,,9095,0.9997881054878235
24.0,0.00021093750547152013,0.00422433577477932,0.5625183582305908,0.8308266997337341,,,9474,0.999800443649292
25.0,0.00021093750547152013,0.0024511697702109814,0.5861488580703735,0.8284085392951965,,,9853,0.9997985363006592
26.0,0.00021093750547152013,0.0024963882751762867,0.6371516585350037,0.833154022693634,,,10232,0.9999732971191406
27.0,0.00021093750547152013,0.002048008842393756,0.6002610325813293,0.8278353214263916,,,10611,0.9999602437019348
28.0,0.00021093750547152013,0.0017666403437033296,0.616618812084198,0.8292333483695984,,,10990,0.99996417760849
29.0,0.00021093750547152013,0.0016401627799496055,0.5984639525413513,0.8297751545906067,,,11369,0.9999856948852539
30.0,0.0001582031254656613,0.0012350265169516206,0.6343631148338318,0.8288636207580566,,,11748,0.9999869465827942
31.0,0.0001582031254656613,0.0011213975958526134,0.6727566719055176,0.8295285105705261,0.8180301785469055,0.6808363795280457,12127,0.9999954104423523
32.0,0.0001582031254656613,0.0009500851156190038,0.6459901332855225,0.8294114470481873,,,12506,0.9999963641166687
